nohup: ignoring input
 * Running on http://0.0.0.0:9222/ (Press CTRL+C to quit)
162.105.80.167 - - [08/May/2016 20:46:33] "GET /monitor HTTP/1.1" 200 -
162.105.80.167 - - [08/May/2016 20:46:33] "GET /static/lib/jquery/jquery-1.9.1.min.js HTTP/1.1" 304 -
162.105.80.167 - - [08/May/2016 20:46:33] "GET /static/lib/bootstrap-3.3.5-dist/js/bootstrap.min.js HTTP/1.1" 304 -
162.105.80.167 - - [08/May/2016 20:46:33] "GET /static/lib/bootstrap-3.3.5-dist/css/bootstrap.min.css HTTP/1.1" 304 -
162.105.80.167 - - [08/May/2016 20:46:33] "GET /static/favicon.ico HTTP/1.1" 200 -
162.105.80.167 - - [08/May/2016 20:47:01] "GET /monitor HTTP/1.1" 200 -
162.105.80.167 - - [08/May/2016 20:47:01] "GET /static/lib/jquery/jquery-1.9.1.min.js HTTP/1.1" 304 -
162.105.80.167 - - [08/May/2016 20:47:01] "GET /static/lib/bootstrap-3.3.5-dist/js/bootstrap.min.js HTTP/1.1" 304 -
162.105.80.167 - - [08/May/2016 20:47:01] "GET /static/lib/bootstrap-3.3.5-dist/css/bootstrap.min.css HTTP/1.1" 304 -
115.27.215.95 - - [08/May/2016 20:47:51] "GET / HTTP/1.1" 200 -
115.27.215.95 - - [08/May/2016 20:47:52] "GET /login HTTP/1.1" 200 -
115.27.215.95 - - [08/May/2016 20:47:59] "POST /login HTTP/1.1" 302 -
115.27.215.95 - - [08/May/2016 20:47:59] "GET /userinfo HTTP/1.1" 200 -
115.27.215.95 - - [08/May/2016 20:48:11] "GET /monitor HTTP/1.1" 200 -
115.27.215.95 - - [08/May/2016 20:48:16] "GET /monitor HTTP/1.1" 200 -
115.27.215.95 - - [08/May/2016 20:48:16] "GET /static/lib/bootstrap-3.3.5-dist/css/bootstrap.min.css HTTP/1.1" 304 -
115.27.215.95 - - [08/May/2016 20:48:16] "GET /static/lib/jquery/jquery-1.9.1.min.js HTTP/1.1" 304 -
115.27.215.95 - - [08/May/2016 20:48:16] "GET /static/lib/bootstrap-3.3.5-dist/js/bootstrap.min.js HTTP/1.1" 304 -
115.27.215.95 - - [08/May/2016 20:48:27] "POST /setstatus HTTP/1.1" 200 -
115.27.215.95 - - [08/May/2016 20:48:29] "GET /monitor HTTP/1.1" 200 -
115.27.215.95 - - [08/May/2016 20:48:39] "GET /monitor HTTP/1.1" 200 -
115.27.215.95 - - [08/May/2016 20:48:39] "GET /static/lib/bootstrap-3.3.5-dist/css/bootstrap.min.css HTTP/1.1" 304 -
115.27.215.95 - - [08/May/2016 20:48:39] "GET /static/lib/jquery/jquery-1.9.1.min.js HTTP/1.1" 304 -
115.27.215.95 - - [08/May/2016 20:48:39] "GET /static/lib/bootstrap-3.3.5-dist/js/bootstrap.min.js HTTP/1.1" 304 -
115.27.215.95 - - [08/May/2016 20:48:50] "POST /setstatus HTTP/1.1" 200 -
115.27.215.95 - - [08/May/2016 20:48:52] "GET /monitor HTTP/1.1" 200 -
115.27.215.95 - - [08/May/2016 23:06:34] "POST /setstatus HTTP/1.1" 200 -
115.27.215.95 - - [08/May/2016 23:06:36] "GET /monitor HTTP/1.1" 200 -
162.105.80.167 - - [09/May/2016 09:26:42] "GET /userinfo HTTP/1.1" 302 -
162.105.80.167 - - [09/May/2016 09:26:42] "GET /login HTTP/1.1" 200 -
162.105.80.167 - - [09/May/2016 09:26:42] "GET /static/lib/bootstrap-3.3.5-dist/css/bootstrap.min.css HTTP/1.1" 304 -
162.105.80.167 - - [09/May/2016 09:26:42] "GET /static/lib/font-awesome-4.3.0/css/font-awesome.min.css HTTP/1.1" 304 -
162.105.80.167 - - [09/May/2016 09:26:42] "GET /static/custom/css/login.css HTTP/1.1" 304 -
162.105.80.167 - - [09/May/2016 09:26:42] "GET /static/lib/jquery/jquery-1.9.1.min.js HTTP/1.1" 304 -
162.105.80.167 - - [09/May/2016 09:26:42] "GET /static/lib/bootstrap-3.3.5-dist/js/bootstrap.min.js HTTP/1.1" 304 -
